state,R15   Nov - Dec 2014 ,R16   Jun - Jul 2015 ,R17   Nov - Dec 2015 ,R18   Jun - Jul 2016 ,R19   Nov - Dec 2016 
Central Equatoria,P = 8%B = 25%A = 67%,P = 16%B = 37%A = 47%,P = 46%B = 34%A = 20%,P = 41%B = 44%A = 15%,P = 23%B = 25%A = 52%
Eastern Equatoria,P = 6%B = 33%A = 60%,P = 25%B = 22%A = 54%,P = 59%B = 22%A = 19%,P = 34%B = 25%A = 42%,P = 6%B = 10%A = 83%
Jonglei,P = 30%B = 33%A = 37%,P = 12%B = 21%A = 67%,P = 45%B = 32%A = 23%,P = 38%B = 30%A = 32%,P = 30%B = 27%A = 43%
Lakes,P = 17%B = 26%A = 57%,P = 57%B = 24%A = 19%,P = 24%B = 22%A = 54%,P = 58%B = 20%A = 22%,P = 51%B = 27%A = 21%
Northern Bahr El Ghazal,P = 12%B = 20%A = 69%,P = 28%B = 20%A = 51%,P = 44%B = 23%A = 33%,P = 55%B = 32%A = 14%,P = 13%B = 33%A = 54%
Unity,P = 18%B = 28%A = 54%, , ,P = 47%B = 32%A = 21%,P = 20%B = 20%A = 59%
Upper Nile,P = 20%B = 25%A = 56%,P = 31%B = 27%A = 42%,P = 44%B = 25%A = 31%,P = 61%B = 22%A = 17%,P = 28%B = 32%A = 40%
Warrap,P = 7%B = 42%A = 51%,P = 30%B = 21%A = 49%,P = 62%B = 20%A = 18%,P = 65%B = 20%A = 16%,P = 15%B = 31%A = 54%
Western Bahr El Ghazal,P = 14%B = 21%A = 64%,P = 17%B = 31%A = 52%,P = 56%B = 31%A = 12%,P = 52%B = 30%A = 19%,P = 19%B = 27%A = 55%
Western Equatoria,P = 4%B = 25%A = 71%,P = 35%B = 41%A = 23%, ,P = 43%B = 38%A = 19%,P = 38%B = 30%A = 31%
