Livelihood Zone,Very High ,High ,Medium ,Low ,Final Phase 
Highland forest and sorghum,54.07%,3.66%,5.69%,36.59%,54.07 (Very High)%
Equatorial maize and cassava,65.69%,3.86%,6.80%,23.65%,65.69 (Very High)%
Eastern plains sorghum and cattle,33.50%,1.46%,4.85%,60.19%,33.5 (Very High)%
Ironstone Plateau agro-pastoral,73.32%,1.75%,3.24%,21.70%,73.32 (Very High)%
Nile basin fishing and agro-pastoral,50.78%,1.55%,4.15%,43.52%,50.78 (Very High)%
Eastern semi-arid pastoral,46.08%,3.23%,5.53%,45.16%,46.08 (Very High)%
Greater Bahr el Ghazal sorghum and cattle,80.97%,1.98%,4.15%,12.89%,80.97 (Very High)%
"Oil resources, maize and cattle",65.19%,3.70%,7.41%,23.70%,65.19 (Very High)%
"Western groundnuts, sesame and sorghum",78.50%,1.50%,6.00%,14.00%,78.5 (Very High)%
Northern sorhgum and livestock,93.16%,0.76%,1.14%,4.94%,93.16 (Very High)%
Northeastern maize and cattle,65.40%,0.69%,5.88%,28.03%,65.4 (Very High)%
