"DateTime","Polygon 1"
"2014-01-01",0
"2014-01-02",0.0028
"2014-01-03",0
"2014-01-04",0
"2014-01-05",0
"2014-01-06",0
"2014-01-07",0
"2014-01-08",0
"2014-01-09",0.0001
"2014-01-10",0.0525
"2014-01-11",0
"2014-01-12",0.008
"2014-01-13",0.0002
"2014-01-14",0
"2014-01-15",0.0634
"2014-01-16",0
"2014-01-17",0.002
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0.0094
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0.0055
"2014-01-25",0.0048
"2014-01-26",0
"2014-01-27",0.1063
"2014-01-28",0.0271
"2014-01-29",0.1504
"2014-01-30",0.0362
"2014-01-31",0.0111
"2014-02-01",0.1495
"2014-02-02",0.0011
"2014-02-03",0.0096
"2014-02-04",0.0008
"2014-02-05",0.0148
"2014-02-06",0.0712
"2014-02-07",0.0008
"2014-02-08",0.0036
"2014-02-09",0.0449
"2014-02-10",0.0566
"2014-02-11",0.283
"2014-02-12",0.0447
"2014-02-13",0.011
"2014-02-14",0.0069
"2014-02-15",0.0014
"2014-02-16",0.006
"2014-02-17",0.0183
"2014-02-18",0.0006
"2014-02-19",0.0134
"2014-02-20",0.0107
"2014-02-21",0.0719
"2014-02-22",0.0005
"2014-02-23",0.007
"2014-02-24",0.2283
"2014-02-25",0.6206
"2014-02-26",0.1819
"2014-02-27",0.1625
"2014-02-28",0.0156
"2014-03-01",0.0505
"2014-03-02",0.1501
"2014-03-03",1.0987
"2014-03-04",0.7609
"2014-03-05",0.7428
"2014-03-06",0.1504
"2014-03-07",0.6037
"2014-03-08",0.3902
"2014-03-09",0.477
"2014-03-10",1.6113
"2014-03-11",1.3629
"2014-03-12",0.5109
"2014-03-13",1.4197
"2014-03-14",0.2417
"2014-03-15",0.0677
"2014-03-16",0.3248
"2014-03-17",0.8645
"2014-03-18",0.0396
"2014-03-19",0.0094
"2014-03-20",0.0243
"2014-03-21",0.0438
"2014-03-22",0.1504
"2014-03-23",0.01
"2014-03-24",0.3206
"2014-03-25",0.3199
"2014-03-26",0.095
"2014-03-27",0.0526
"2014-03-28",0.4692
"2014-03-29",1.3397
"2014-03-30",0.1956
"2014-03-31",0.8453
"2014-04-01",1.2574
"2014-04-02",4.3461
"2014-04-03",4.3431
"2014-04-04",3.346
"2014-04-05",0.0496
"2014-04-06",1.6672
"2014-04-07",1.2034
"2014-04-08",1.7613
"2014-04-09",2.4234
"2014-04-10",1.2311
"2014-04-11",0.091
"2014-04-12",3.5562
"2014-04-13",1.3648
"2014-04-14",5.1053
"2014-04-15",0.6521
"2014-04-16",3.662
"2014-04-17",2.6633
"2014-04-18",1.3995
"2014-04-19",4.1229
"2014-04-20",2.0096
"2014-04-21",2.6725
"2014-04-22",1.3938
"2014-04-23",1.2413
"2014-04-24",1.4915
"2014-04-25",3.2894
"2014-04-26",0.2821
"2014-04-27",5.5931
"2014-04-28",4.6386
"2014-04-29",0.4352
"2014-04-30",4.4223
"2014-05-01",3.9015
"2014-05-02",4.6909
"2014-05-03",2.1667
"2014-05-04",4.1209
"2014-05-05",7.8048
"2014-05-06",2.8723
"2014-05-07",9.8064
"2014-05-08",6.2607
"2014-05-09",3.5642
"2014-05-10",2.9407
"2014-05-11",8.6707
"2014-05-12",9.6926
"2014-05-13",1.2962
"2014-05-14",0.5163
"2014-05-15",4.0428
"2014-05-16",2.5695
"2014-05-17",0.9957
"2014-05-18",3.9814
"2014-05-19",0.2892
"2014-05-20",3.5475
"2014-05-21",0.5691
"2014-05-22",8.2274
"2014-05-23",5.8545
"2014-05-24",3.9703
"2014-05-25",5.7704
